,State,Year,beer,wine,spirits,all_bevs
0,Alabama,2016,1.09,0.26,0.65,2.01
1,Alabama,2015,1.11,0.26,0.64,2.01
2,Alabama,2014,1.13,0.25,0.62,2.0
3,Alabama,2013,1.14,0.25,0.6,1.99
4,Alabama,2012,1.16,0.24,0.6,2.0
5,Alabama,2011,1.16,0.24,0.59,1.98
6,Alabama,2010,1.17,0.23,0.58,1.98
7,Alabama,2009,1.19,0.22,0.57,1.98
8,Alabama,2008,1.22,0.22,0.57,2.01
9,Alabama,2007,1.23,0.22,0.55,2.0
10,Alabama,2006,1.21,0.21,0.54,1.95
11,Alabama,2005,1.18,0.2,0.53,1.91
12,Alabama,2004,1.19,0.2,0.52,1.91
13,Alabama,2003,1.19,0.19,0.52,1.9
14,Alabama,2002,1.18,0.21,0.54,1.92
15,Alabama,2001,1.16,0.17,0.53,1.86
16,Alabama,2000,1.19,0.18,0.51,1.88
17,Alabama,1999,1.18,0.17,0.51,1.87
18,Alabama,1998,1.16,0.17,0.51,1.85
19,Alabama,1997,1.14,0.16,0.52,1.82
20,Alabama,1996,1.17,0.18,0.53,1.88
21,Alabama,1995,1.14,0.16,0.53,1.82
22,Alabama,1994,1.16,0.17,0.54,1.87
23,Alabama,1993,1.14,0.17,0.56,1.86
24,Alabama,1992,1.02,0.19,0.59,1.79
25,Alabama,1991,1.0,0.17,0.59,1.76
26,Alabama,1990,1.12,0.18,0.61,1.92
27,Alabama,1989,1.12,0.17,0.61,1.9
28,Alabama,1988,1.12,0.19,0.62,1.92
29,Alabama,1987,1.11,0.18,0.62,1.91
30,Alabama,1986,1.1,0.18,0.65,1.92
31,Alabama,1985,1.07,0.17,0.67,1.92
32,Alabama,1984,1.03,0.19,0.69,1.91
33,Alabama,1983,1.01,0.17,0.72,1.9
34,Alabama,1982,1.0,0.18,0.72,1.9
35,Alabama,1981,1.0,0.19,0.73,1.91
36,Alabama,1980,0.95,0.16,0.74,1.86
37,Alabama,1979,0.96,0.12,0.82,1.9
38,Alabama,1978,0.95,0.12,0.85,1.92
39,Alabama,1977,0.97,0.12,0.82,1.92
40,Alaska,2016,1.15,0.56,1.23,2.94
41,Alaska,2015,1.11,0.53,1.2,2.84
42,Alaska,2014,1.11,0.52,1.16,2.79
43,Alaska,2013,1.07,0.52,1.17,2.75
44,Alaska,2012,1.17,0.53,1.13,2.83
45,Alaska,2011,1.15,0.54,1.17,2.86
46,Alaska,2010,1.23,0.55,1.25,3.03
47,Alaska,2009,1.32,0.54,1.16,3.02
48,Alaska,2008,1.2,0.49,1.09,2.78
49,Alaska,2007,1.13,0.44,0.96,2.53
50,Alaska,2006,1.25,0.47,1.03,2.75
51,Alaska,2005,1.23,0.43,0.98,2.64
52,Alaska,2004,1.31,0.44,0.95,2.71
53,Alaska,2003,1.27,0.37,0.79,2.43
54,Alaska,2002,1.35,0.45,1.19,2.99
55,Alaska,2001,1.32,0.38,0.96,2.67
56,Alaska,2000,1.37,0.37,0.94,2.68
57,Alaska,1999,1.4,0.38,0.95,2.74
58,Alaska,1998,1.39,0.37,0.95,2.71
59,Alaska,1997,1.31,0.36,0.88,2.56
60,Alaska,1996,1.31,0.38,0.94,2.63
61,Alaska,1995,1.45,0.39,1.02,2.86
62,Alaska,1994,1.53,0.4,1.1,3.03
63,Alaska,1993,1.31,0.32,0.92,2.55
64,Alaska,1992,1.53,0.41,1.08,3.02
65,Alaska,1991,1.54,0.43,1.14,3.11
66,Alaska,1990,1.62,0.46,1.25,3.33
67,Alaska,1989,1.52,0.44,1.19,3.15
68,Alaska,1988,1.54,0.47,1.19,3.21
69,Alaska,1987,1.6,0.52,1.26,3.38
70,Alaska,1986,1.65,0.55,1.25,3.45
71,Alaska,1985,1.63,0.56,1.48,3.68
72,Alaska,1984,1.67,0.56,1.5,3.72
73,Alaska,1983,1.71,0.59,1.65,3.95
74,Alaska,1982,1.69,0.54,1.68,3.92
75,Alaska,1981,1.68,0.56,1.79,4.02
76,Alaska,1980,1.54,0.5,1.68,3.72
77,Alaska,1979,1.48,0.46,1.63,3.58
78,Alaska,1978,1.39,0.45,1.67,3.51
79,Alaska,1977,1.19,0.42,1.69,3.3
80,Arizona,2016,1.14,0.4,0.78,2.31
81,Arizona,2015,1.16,0.4,0.78,2.34
82,Arizona,2014,1.18,0.4,0.79,2.37
83,Arizona,2013,1.13,0.42,0.81,2.36
84,Arizona,2012,1.14,0.45,0.84,2.43
85,Arizona,2011,1.15,0.44,0.8,2.39
86,Arizona,2010,1.23,0.41,0.76,2.39
87,Arizona,2009,1.22,0.39,0.77,2.38
88,Arizona,2008,1.3,0.41,0.77,2.48
89,Arizona,2007,1.39,0.34,0.78,2.51
90,Arizona,2006,1.34,0.38,0.79,2.51
91,Arizona,2005,1.35,0.4,0.76,2.51
92,Arizona,2004,1.4,0.34,0.71,2.44
