Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2001,2001 Annual,All Determinants,Alaska,32,-0.066,,,,AHR data,
2001,2001 Annual,All Determinants,Arizona,37,-0.184,,,,AHR data,
2001,2001 Annual,All Determinants,Arkansas,44,-0.297,,,,AHR data,
2001,2001 Annual,All Determinants,California,23,0.145,,,,AHR data,
2001,2001 Annual,All Determinants,Colorado,9,0.39,,,,AHR data,
2001,2001 Annual,All Determinants,Alabama,42,-0.286,,,,AHR data,
2001,2001 Annual,All Determinants,Connecticut,2,0.606,,,,AHR data,
2001,2001 Annual,All Determinants,Delaware,31,-0.047,,,,AHR data,
2001,2001 Annual,All Determinants,Florida,45,-0.357,,,,AHR data,
2001,2001 Annual,All Determinants,Georgia,35,-0.124,,,,AHR data,
2001,2001 Annual,All Determinants,Hawaii,17,0.267,,,,AHR data,
2001,2001 Annual,All Determinants,Idaho,29,0.064,,,,AHR data,
2001,2001 Annual,All Determinants,Illinois,28,0.066,,,,AHR data,
2001,2001 Annual,All Determinants,Indiana,24,0.121,,,,AHR data,
2001,2001 Annual,All Determinants,Iowa,10,0.376,,,,AHR data,
2001,2001 Annual,All Determinants,Kansas,19,0.248,,,,AHR data,
2001,2001 Annual,All Determinants,Kentucky,40,-0.215,,,,AHR data,
2001,2001 Annual,All Determinants,Louisiana,50,-0.58,,,,AHR data,
2001,2001 Annual,All Determinants,Maine,6,0.437,,,,AHR data,
2001,2001 Annual,All Determinants,Maryland,14,0.321,,,,AHR data,
2001,2001 Annual,All Determinants,Massachusetts,4,0.535,,,,AHR data,
2001,2001 Annual,All Determinants,Michigan,25,0.099,,,,AHR data,
2001,2001 Annual,All Determinants,Minnesota,1,0.621,,,,AHR data,
2001,2001 Annual,All Determinants,Mississippi,46,-0.369,,,,AHR data,
2001,2001 Annual,All Determinants,Missouri,30,0.062,,,,AHR data,
2001,2001 Annual,All Determinants,Montana,27,0.071,,,,AHR data,
2001,2001 Annual,All Determinants,Nebraska,12,0.338,,,,AHR data,
2001,2001 Annual,All Determinants,Nevada,47,-0.371,,,,AHR data,
2001,2001 Annual,All Determinants,New Hampshire,3,0.566,,,,AHR data,
2001,2001 Annual,All Determinants,New Jersey,15,0.319,,,,AHR data,
2001,2001 Annual,All Determinants,New Mexico,49,-0.483,,,,AHR data,
2001,2001 Annual,All Determinants,New York,33,-0.082,,,,AHR data,
2001,2001 Annual,All Determinants,North Carolina,36,-0.142,,,,AHR data,
2001,2001 Annual,All Determinants,North Dakota,18,0.253,,,,AHR data,
2001,2001 Annual,All Determinants,Ohio,26,0.095,,,,AHR data,
2001,2001 Annual,All Determinants,Oklahoma,38,-0.202,,,,AHR data,
2001,2001 Annual,All Determinants,Oregon,22,0.17,,,,AHR data,
2001,2001 Annual,All Determinants,Pennsylvania,20,0.247,,,,AHR data,
2001,2001 Annual,All Determinants,Rhode Island,8,0.404,,,,AHR data,
2001,2001 Annual,All Determinants,South Carolina,48,-0.42,,,,AHR data,
2001,2001 Annual,All Determinants,South Dakota,21,0.18,,,,AHR data,
2001,2001 Annual,All Determinants,Tennessee,43,-0.293,,,,AHR data,
2001,2001 Annual,All Determinants,Texas,41,-0.241,,,,AHR data,
2001,2001 Annual,All Determinants,United States,,,,,,AHR data,
2001,2001 Annual,All Determinants,Utah,7,0.412,,,,AHR data,
2001,2001 Annual,All Determinants,Vermont,5,0.449,,,,AHR data,
2001,2001 Annual,All Determinants,Virginia,13,0.337,,,,AHR data,
2001,2001 Annual,All Determinants,Washington,11,0.371,,,,AHR data,
2001,2001 Annual,All Determinants,West Virginia,39,-0.204,,,,AHR data,
2001,2001 Annual,All Determinants,Wisconsin,16,0.299,,,,AHR data,
2001,2001 Annual,All Determinants,Wyoming,34,-0.104,,,,AHR data,
2001,2001 Annual,All Outcomes,South Dakota,14,0.263,,,,AHR data,
2001,2001 Annual,All Outcomes,Tennessee,44,-0.402,,,,AHR data,
2001,2001 Annual,All Outcomes,Texas,29,0.026,,,,AHR data,
2001,2001 Annual,All Outcomes,United States,,,,,,AHR data,
2001,2001 Annual,All Outcomes,Utah,1,0.627,,,,AHR data,
2001,2001 Annual,All Outcomes,Vermont,21,0.182,,,,AHR data,
2001,2001 Annual,All Outcomes,Virginia,30,0.015,,,,AHR data,
2001,2001 Annual,All Outcomes,Washington,8,0.372,,,,AHR data,
2001,2001 Annual,All Outcomes,West Virginia,47,-0.489,,,,AHR data,
2001,2001 Annual,All Outcomes,Wisconsin,24,0.172,,,,AHR data,
2001,2001 Annual,All Outcomes,Wyoming,18,0.228,,,,AHR data,
2001,2001 Annual,All Outcomes,Alaska,5,0.455,,,,AHR data,
2001,2001 Annual,All Outcomes,Arizona,19,0.201,,,,AHR data,
2001,2001 Annual,All Outcomes,Arkansas,45,-0.426,,,,AHR data,
2001,2001 Annual,All Outcomes,California,13,0.281,,,,AHR data,
2001,2001 Annual,All Outcomes,Colorado,5,0.455,,,,AHR data,
2001,2001 Annual,All Outcomes,Connecticut,16,0.256,,,,AHR data,
2001,2001 Annual,All Outcomes,Delaware,41,-0.269,,,,AHR data,
2001,2001 Annual,All Outcomes,Florida,28,0.069,,,,AHR data,
2001,2001 Annual,All Outcomes,Georgia,40,-0.265,,,,AHR data,
2001,2001 Annual,All Outcomes,Hawaii,1,0.627,,,,AHR data,
2001,2001 Annual,All Outcomes,Idaho,7,0.45,,,,AHR data,
2001,2001 Annual,All Outcomes,Illinois,34,-0.116,,,,AHR data,
2001,2001 Annual,All Outcomes,Indiana,36,-0.194,,,,AHR data,
2001,2001 Annual,All Outcomes,Iowa,12,0.301,,,,AHR data,
2001,2001 Annual,All Outcomes,Kansas,21,0.182,,,,AHR data,
2001,2001 Annual,All Outcomes,Kentucky,46,-0.434,,,,AHR data,
2001,2001 Annual,All Outcomes,Louisiana,48,-0.517,,,,AHR data,
2001,2001 Annual,All Outcomes,Maine,21,0.182,,,,AHR data,
2001,2001 Annual,All Outcomes,Maryland,33,-0.112,,,,AHR data,
2001,2001 Annual,All Outcomes,Alabama,49,-0.529,,,,AHR data,
2001,2001 Annual,All Outcomes,Massachusetts,10,0.343,,,,AHR data,
2001,2001 Annual,All Outcomes,Michigan,31,-0.081,,,,AHR data,
2001,2001 Annual,All Outcomes,Minnesota,3,0.482,,,,AHR data,
2001,2001 Annual,All Outcomes,Mississippi,50,-0.621,,,,AHR data,
2001,2001 Annual,All Outcomes,Missouri,37,-0.21,,,,AHR data,
2001,2001 Annual,All Outcomes,Montana,17,0.239,,,,AHR data,
2001,2001 Annual,All Outcomes,Nebraska,20,0.2,,,,AHR data,
2001,2001 Annual,All Outcomes,Nevada,39,-0.252,,,,AHR data,
2001,2001 Annual,All Outcomes,New Hampshire,9,0.367,,,,AHR data,
2001,2001 Annual,All Outcomes,New Jersey,26,0.079,,,,AHR data,
2001,2001 Annual,All Outcomes,New Mexico,11,0.326,,,,AHR data,
2001,2001 Annual,All Outcomes,New York,27,0.072,,,,AHR data,
2001,2001 Annual,All Outcomes,North Carolina,37,-0.21,,,,AHR data,
2001,2001 Annual,All Outcomes,North Dakota,4,0.469,,,,AHR data,
2001,2001 Annual,All Outcomes,Ohio,35,-0.168,,,,AHR data,
2001,2001 Annual,All Outcomes,Oklahoma,43,-0.387,,,,AHR data,
2001,2001 Annual,All Outcomes,Oregon,15,0.258,,,,AHR data,
2001,2001 Annual,All Outcomes,Pennsylvania,32,-0.095,,,,AHR data,
2001,2001 Annual,All Outcomes,Rhode Island,25,0.131,,,,AHR data,
2001,2001 Annual,All Outcomes,South Carolina,42,-0.343,,,,AHR data,
2001,2001 Annual,Binge Drinking,Alabama,13,11.6,-0.86,13.2,10,AHR data,
2001,2001 Annual,Binge Drinking,Alaska,42,17.9,0.89,20.8,15,AHR data,
2001,2001 Annual,Binge Drinking,Arizona,4,8.8,-1.64,10.8,6.8,AHR data,
2001,2001 Annual,Binge Drinking,Arkansas,7,9.9,-1.33,11.6,8.2,AHR data,
2001,2001 Annual,Binge Drinking,California,28,15.4,0.19,16.7,14.1,AHR data,
2001,2001 Annual,Binge Drinking,Colorado,38,16.6,0.53,18.6,14.6,AHR data,
2001,2001 Annual,Binge Drinking,Connecticut,23,14.6,-0.03,16.9,12.3,AHR data,
