,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
0,2009,2009 Annual,Air Pollution,Alabama,45.0,13.5,0.72,,,AHR data,
1,2009,2009 Annual,Air Pollution,Alaska,5.0,6.9,-1.92,,,AHR data,
2,2009,2009 Annual,Air Pollution,Arizona,22.0,10.5,-0.48,,,AHR data,
3,2009,2009 Annual,Air Pollution,Arkansas,32.0,11.8,0.04,,,AHR data,
4,2009,2009 Annual,Air Pollution,California,47.0,13.9,0.88,,,AHR data,
5,2009,2009 Annual,Air Pollution,Colorado,8.0,7.7,-1.6,,,AHR data,
6,2009,2009 Annual,Air Pollution,Connecticut,30.0,11.5,-0.08,,,AHR data,
7,2009,2009 Annual,Air Pollution,Delaware,47.0,13.9,0.88,,,AHR data,
8,2009,2009 Annual,Air Pollution,Florida,15.0,9.0,-1.08,,,AHR data,
9,2009,2009 Annual,Air Pollution,Georgia,47.0,13.9,0.88,,,AHR data,
10,2009,2009 Annual,Air Pollution,Hawaii,1.0,4.8,-2.0,,,AHR data,
11,2009,2009 Annual,Air Pollution,Idaho,6.0,7.5,-1.68,,,AHR data,
12,2009,2009 Annual,Air Pollution,Illinois,42.0,13.2,0.6,,,AHR data,
13,2009,2009 Annual,Air Pollution,Indiana,42.0,13.2,0.6,,,AHR data,
14,2009,2009 Annual,Air Pollution,Iowa,22.0,10.5,-0.48,,,AHR data,
15,2009,2009 Annual,Air Pollution,Kansas,20.0,9.9,-0.72,,,AHR data,
16,2009,2009 Annual,Air Pollution,Kentucky,41.0,13.1,0.56,,,AHR data,
17,2009,2009 Annual,Air Pollution,Louisiana,27.0,11.3,-0.16,,,AHR data,
18,2009,2009 Annual,Air Pollution,Maine,18.0,9.4,-0.92,,,AHR data,
19,2009,2009 Annual,Air Pollution,Maryland,36.0,12.6,0.36,,,AHR data,
20,2009,2009 Annual,Air Pollution,Massachusetts,19.0,9.6,-0.84,,,AHR data,
21,2009,2009 Annual,Air Pollution,Michigan,34.0,12.1,0.16,,,AHR data,
22,2009,2009 Annual,Air Pollution,Minnesota,13.0,8.6,-1.24,,,AHR data,
23,2009,2009 Annual,Air Pollution,Mississippi,29.0,11.4,-0.12,,,AHR data,
24,2009,2009 Annual,Air Pollution,Missouri,33.0,11.9,0.08,,,AHR data,
25,2009,2009 Annual,Air Pollution,Montana,8.0,7.7,-1.6,,,AHR data,
26,2009,2009 Annual,Air Pollution,Nebraska,10.0,8.0,-1.48,,,AHR data,
27,2009,2009 Annual,Air Pollution,Nevada,15.0,9.0,-1.08,,,AHR data,
28,2009,2009 Annual,Air Pollution,New Hampshire,14.0,8.8,-1.16,,,AHR data,
29,2009,2009 Annual,Air Pollution,New Jersey,39.0,12.8,0.44,,,AHR data,
30,2009,2009 Annual,Air Pollution,New Mexico,4.0,6.5,-2.0,,,AHR data,
31,2009,2009 Annual,Air Pollution,New York,30.0,11.5,-0.08,,,AHR data,
32,2009,2009 Annual,Air Pollution,North Carolina,36.0,12.6,0.36,,,AHR data,
33,2009,2009 Annual,Air Pollution,North Dakota,3.0,5.6,-2.0,,,AHR data,
34,2009,2009 Annual,Air Pollution,Ohio,44.0,13.4,0.68,,,AHR data,
35,2009,2009 Annual,Air Pollution,Oklahoma,22.0,10.5,-0.48,,,AHR data,
36,2009,2009 Annual,Air Pollution,Oregon,11.0,8.1,-1.44,,,AHR data,
37,2009,2009 Annual,Air Pollution,Pennsylvania,47.0,13.9,0.88,,,AHR data,
38,2009,2009 Annual,Air Pollution,Rhode Island,21.0,10.1,-0.64,,,AHR data,
39,2009,2009 Annual,Air Pollution,South Carolina,36.0,12.6,0.36,,,AHR data,
40,2009,2009 Annual,Air Pollution,South Dakota,6.0,7.5,-1.68,,,AHR data,
41,2009,2009 Annual,Air Pollution,Tennessee,40.0,13.0,0.52,,,AHR data,
42,2009,2009 Annual,Air Pollution,Texas,26.0,11.0,-0.28,,,AHR data,
43,2009,2009 Annual,Air Pollution,Utah,22.0,10.5,-0.48,,,AHR data,
44,2009,2009 Annual,Air Pollution,Vermont,11.0,8.1,-1.44,,,AHR data,
45,2009,2009 Annual,Air Pollution,Virginia,34.0,12.1,0.16,,,AHR data,
46,2009,2009 Annual,Air Pollution,Washington,17.0,9.1,-1.04,,,AHR data,
47,2009,2009 Annual,Air Pollution,West Virginia,46.0,13.6,0.76,,,AHR data,
48,2009,2009 Annual,Air Pollution,Wisconsin,27.0,11.3,-0.16,,,AHR data,
49,2009,2009 Annual,Air Pollution,Wyoming,2.0,5.3,-2.0,,,AHR data,
50,2009,2009 Annual,Air Pollution,United States,,11.7,,,,AHR data,
51,2009,2009 Annual,Air Pollution,District of Columbia,,11.7,,,,AHR data,
52,2009,2009 Annual,All Determinants,Alaska,34.0,-0.121,,,,AHR data,
53,2009,2009 Annual,All Determinants,Arizona,27.0,-0.037000000000000005,,,,AHR data,
54,2009,2009 Annual,All Determinants,Arkansas,41.0,-0.264,,,,AHR data,
55,2009,2009 Annual,All Determinants,California,24.0,0.134,,,,AHR data,
56,2009,2009 Annual,All Determinants,Alabama,43.0,-0.306,,,,AHR data,
57,2009,2009 Annual,All Determinants,Colorado,9.0,0.40700000000000003,,,,AHR data,
58,2009,2009 Annual,All Determinants,Connecticut,6.0,0.525,,,,AHR data,
59,2009,2009 Annual,All Determinants,Delaware,32.0,-0.098,,,,AHR data,
60,2009,2009 Annual,All Determinants,Florida,35.0,-0.122,,,,AHR data,
61,2009,2009 Annual,All Determinants,Georgia,47.0,-0.40399999999999997,,,,AHR data,
62,2009,2009 Annual,All Determinants,Hawaii,5.0,0.596,,,,AHR data,
63,2009,2009 Annual,All Determinants,Idaho,12.0,0.34700000000000003,,,,AHR data,
64,2009,2009 Annual,All Determinants,Illinois,33.0,-0.109,,,,AHR data,
65,2009,2009 Annual,All Determinants,Indiana,38.0,-0.201,,,,AHR data,
66,2009,2009 Annual,All Determinants,Iowa,18.0,0.237,,,,AHR data,
67,2009,2009 Annual,All Determinants,Kansas,25.0,0.121,,,,AHR data,
68,2009,2009 Annual,All Determinants,Kentucky,40.0,-0.257,,,,AHR data,
69,2009,2009 Annual,All Determinants,Louisiana,45.0,-0.36200000000000004,,,,AHR data,
70,2009,2009 Annual,All Determinants,Maine,8.0,0.439,,,,AHR data,
71,2009,2009 Annual,All Determinants,Maryland,16.0,0.282,,,,AHR data,
72,2009,2009 Annual,All Determinants,Massachusetts,4.0,0.63,,,,AHR data,
73,2009,2009 Annual,All Determinants,Michigan,30.0,-0.087,,,,AHR data,
74,2009,2009 Annual,All Determinants,Minnesota,7.0,0.47700000000000004,,,,AHR data,
75,2009,2009 Annual,All Determinants,Mississippi,50.0,-0.479,,,,AHR data,
76,2009,2009 Annual,All Determinants,Missouri,37.0,-0.185,,,,AHR data,
77,2009,2009 Annual,All Determinants,Montana,23.0,0.139,,,,AHR data,
78,2009,2009 Annual,All Determinants,Nebraska,21.0,0.217,,,,AHR data,
79,2009,2009 Annual,All Determinants,Nevada,49.0,-0.451,,,,AHR data,
80,2009,2009 Annual,All Determinants,New Hampshire,3.0,0.645,,,,AHR data,
81,2009,2009 Annual,All Determinants,New Jersey,17.0,0.244,,,,AHR data,
82,2009,2009 Annual,All Determinants,New Mexico,31.0,-0.096,,,,AHR data,
83,2009,2009 Annual,All Determinants,New York,26.0,0.021,,,,AHR data,
84,2009,2009 Annual,All Determinants,North Carolina,36.0,-0.168,,,,AHR data,
85,2009,2009 Annual,All Determinants,North Dakota,19.0,0.22899999999999998,,,,AHR data,
86,2009,2009 Annual,All Determinants,Ohio,29.0,-0.053,,,,AHR data,
87,2009,2009 Annual,All Determinants,Oklahoma,47.0,-0.40399999999999997,,,,AHR data,
88,2009,2009 Annual,All Determinants,Oregon,14.0,0.327,,,,AHR data,
89,2009,2009 Annual,All Determinants,Pennsylvania,28.0,-0.046,,,,AHR data,
90,2009,2009 Annual,All Determinants,Rhode Island,10.0,0.39899999999999997,,,,AHR data,
91,2009,2009 Annual,All Determinants,South Carolina,46.0,-0.363,,,,AHR data,
92,2009,2009 Annual,All Determinants,South Dakota,15.0,0.298,,,,AHR data,
93,2009,2009 Annual,All Determinants,Tennessee,42.0,-0.29,,,,AHR data,
94,2009,2009 Annual,All Determinants,Texas,44.0,-0.359,,,,AHR data,
95,2009,2009 Annual,All Determinants,United States,,,,,,AHR data,
96,2009,2009 Annual,All Determinants,Utah,2.0,0.743,,,,AHR data,
97,2009,2009 Annual,All Determinants,Vermont,1.0,0.8290000000000001,,,,AHR data,
98,2009,2009 Annual,All Determinants,Virginia,20.0,0.225,,,,AHR data,
99,2009,2009 Annual,All Determinants,Washington,13.0,0.32799999999999996,,,,AHR data,
100,2009,2009 Annual,All Determinants,West Virginia,39.0,-0.23,,,,AHR data,
101,2009,2009 Annual,All Determinants,Wisconsin,11.0,0.377,,,,AHR data,
102,2009,2009 Annual,All Determinants,Wyoming,22.0,0.193,,,,AHR data,
103,2009,2009 Annual,All Determinants,District of Columbia,,,,,,AHR data,
104,2009,2009 Annual,All Outcomes,Alaska,27.0,0.040999999999999995,,,,AHR data,
105,2009,2009 Annual,All Outcomes,Arizona,22.0,0.11699999999999999,,,,AHR data,
106,2009,2009 Annual,All Outcomes,Arkansas,43.0,-0.14,,,,AHR data,
107,2009,2009 Annual,All Outcomes,California,19.0,0.14300000000000002,,,,AHR data,
108,2009,2009 Annual,All Outcomes,Colorado,13.0,0.19899999999999998,,,,AHR data,
109,2009,2009 Annual,All Outcomes,Connecticut,5.0,0.261,,,,AHR data,
110,2009,2009 Annual,All Outcomes,Delaware,32.0,0.02,,,,AHR data,
111,2009,2009 Annual,All Outcomes,Florida,41.0,-0.071,,,,AHR data,
112,2009,2009 Annual,All Outcomes,Georgia,40.0,-0.062,,,,AHR data,
113,2009,2009 Annual,All Outcomes,Hawaii,2.0,0.28800000000000003,,,,AHR data,
114,2009,2009 Annual,All Outcomes,Idaho,15.0,0.168,,,,AHR data,
115,2009,2009 Annual,All Outcomes,Illinois,24.0,0.067,,,,AHR data,
116,2009,2009 Annual,All Outcomes,Indiana,34.0,0.004,,,,AHR data,
117,2009,2009 Annual,All Outcomes,Iowa,6.0,0.259,,,,AHR data,
118,2009,2009 Annual,All Outcomes,Kansas,23.0,0.114,,,,AHR data,
119,2009,2009 Annual,All Outcomes,Kentucky,47.0,-0.19,,,,AHR data,
120,2009,2009 Annual,All Outcomes,Louisiana,46.0,-0.18100000000000002,,,,AHR data,
121,2009,2009 Annual,All Outcomes,Maine,21.0,0.12,,,,AHR data,
122,2009,2009 Annual,All Outcomes,Maryland,33.0,0.008,,,,AHR data,
123,2009,2009 Annual,All Outcomes,Alabama,49.0,-0.23399999999999999,,,,AHR data,
124,2009,2009 Annual,All Outcomes,Massachusetts,3.0,0.267,,,,AHR data,
125,2009,2009 Annual,All Outcomes,Michigan,29.0,0.028999999999999998,,,,AHR data,
126,2009,2009 Annual,All Outcomes,Minnesota,1.0,0.341,,,,AHR data,
127,2009,2009 Annual,All Outcomes,Mississippi,50.0,-0.31,,,,AHR data,
128,2009,2009 Annual,All Outcomes,Missouri,39.0,-0.053,,,,AHR data,
129,2009,2009 Annual,All Outcomes,Montana,28.0,0.04,,,,AHR data,
130,2009,2009 Annual,All Outcomes,Nebraska,4.0,0.264,,,,AHR data,
131,2009,2009 Annual,All Outcomes,Nevada,37.0,-0.035,,,,AHR data,
132,2009,2009 Annual,All Outcomes,New Hampshire,8.0,0.24100000000000002,,,,AHR data,
133,2009,2009 Annual,All Outcomes,New Jersey,16.0,0.16,,,,AHR data,
134,2009,2009 Annual,All Outcomes,New Mexico,30.0,0.025,,,,AHR data,
135,2009,2009 Annual,All Outcomes,New York,10.0,0.213,,,,AHR data,
136,2009,2009 Annual,All Outcomes,North Carolina,38.0,-0.038,,,,AHR data,
137,2009,2009 Annual,All Outcomes,North Dakota,14.0,0.182,,,,AHR data,
138,2009,2009 Annual,All Outcomes,Ohio,36.0,-0.031,,,,AHR data,
139,2009,2009 Annual,All Outcomes,Oklahoma,44.0,-0.16699999999999998,,,,AHR data,
140,2009,2009 Annual,All Outcomes,Oregon,12.0,0.20199999999999999,,,,AHR data,
141,2009,2009 Annual,All Outcomes,Pennsylvania,30.0,0.025,,,,AHR data,
142,2009,2009 Annual,All Outcomes,Rhode Island,18.0,0.158,,,,AHR data,
143,2009,2009 Annual,All Outcomes,South Carolina,42.0,-0.124,,,,AHR data,
144,2009,2009 Annual,All Outcomes,South Dakota,35.0,-0.003,,,,AHR data,
145,2009,2009 Annual,All Outcomes,Tennessee,45.0,-0.179,,,,AHR data,
146,2009,2009 Annual,All Outcomes,Texas,26.0,0.049,,,,AHR data,
147,2009,2009 Annual,All Outcomes,United States,,,,,,AHR data,
148,2009,2009 Annual,All Outcomes,Utah,7.0,0.257,,,,AHR data,
149,2009,2009 Annual,All Outcomes,Vermont,9.0,0.226,,,,AHR data,
150,2009,2009 Annual,All Outcomes,Virginia,25.0,0.057,,,,AHR data,
151,2009,2009 Annual,All Outcomes,Washington,11.0,0.207,,,,AHR data,
152,2009,2009 Annual,All Outcomes,West Virginia,48.0,-0.23,,,,AHR data,
153,2009,2009 Annual,All Outcomes,Wisconsin,17.0,0.159,,,,AHR data,
154,2009,2009 Annual,All Outcomes,Wyoming,20.0,0.131,,,,AHR data,
155,2009,2009 Annual,All Outcomes,District of Columbia,,,,,,AHR data,
156,2009,2009 Annual,Binge Drinking,Alabama,6.0,11.4,-1.38,13.1,9.7,AHR data,
157,2009,2009 Annual,Binge Drinking,Alaska,37.0,17.6,0.61,20.3,14.9,AHR data,
158,2009,2009 Annual,Binge Drinking,Arizona,23.0,15.3,-0.13,17.7,12.9,AHR data,
159,2009,2009 Annual,Binge Drinking,Arkansas,7.0,11.5,-1.35,13.0,10.0,AHR data,
160,2009,2009 Annual,Binge Drinking,California,29.0,16.1,0.13,17.7,14.5,AHR data,
161,2009,2009 Annual,Binge Drinking,Colorado,33.0,16.6,0.29,17.7,15.5,AHR data,
162,2009,2009 Annual,Binge Drinking,Connecticut,35.0,17.3,0.51,19.0,15.6,AHR data,
163,2009,2009 Annual,Binge Drinking,Delaware,45.0,18.3,0.84,20.6,16.0,AHR data,
164,2009,2009 Annual,Binge Drinking,Florida,16.0,14.0,-0.55,15.2,12.6,AHR data,
165,2009,2009 Annual,Binge Drinking,Georgia,12.0,13.2,-0.8,14.9,11.5,AHR data,
166,2009,2009 Annual,Binge Drinking,Hawaii,43.0,18.1,0.77,19.7,16.5,AHR data,
167,2009,2009 Annual,Binge Drinking,Idaho,16.0,14.0,-0.55,15.6,12.4,AHR data,
168,2009,2009 Annual,Binge Drinking,Illinois,47.0,19.4,1.19,21.1,17.7,AHR data,
169,2009,2009 Annual,Binge Drinking,Indiana,25.0,15.8,0.03,17.6,14.0,AHR data,
170,2009,2009 Annual,Binge Drinking,Iowa,48.0,20.1,1.41,21.6,18.6,AHR data,
171,2009,2009 Annual,Binge Drinking,Kansas,18.0,14.1,-0.51,15.3,12.9,AHR data,
172,2009,2009 Annual,Binge Drinking,Kentucky,4.0,10.1,-1.8,11.5,8.7,AHR data,
173,2009,2009 Annual,Binge Drinking,Louisiana,14.0,13.4,-0.74,14.7,12.2,AHR data,
174,2009,2009 Annual,Binge Drinking,Maine,25.0,15.8,0.03,17.2,14.4,AHR data,
175,2009,2009 Annual,Binge Drinking,Maryland,12.0,13.2,-0.8,14.4,12.0,AHR data,
176,2009,2009 Annual,Binge Drinking,Massachusetts,37.0,17.6,0.61,18.7,16.6,AHR data,
177,2009,2009 Annual,Binge Drinking,Michigan,43.0,18.1,0.77,19.5,16.7,AHR data,
178,2009,2009 Annual,Binge Drinking,Minnesota,34.0,17.2,0.48,19.0,15.4,AHR data,
179,2009,2009 Annual,Binge Drinking,Mississippi,5.0,11.1,-1.48,12.3,9.9,AHR data,
180,2009,2009 Annual,Binge Drinking,Missouri,25.0,15.8,0.03,17.6,14.0,AHR data,
181,2009,2009 Annual,Binge Drinking,Montana,36.0,17.4,0.55,19.0,15.8,AHR data,
182,2009,2009 Annual,Binge Drinking,Nebraska,46.0,18.6,0.93,20.4,16.8,AHR data,
183,2009,2009 Annual,Binge Drinking,Nevada,41.0,17.9,0.71,19.8,16.0,AHR data,
184,2009,2009 Annual,Binge Drinking,New Hampshire,28.0,16.0,0.1,17.4,14.6,AHR data,
185,2009,2009 Annual,Binge Drinking,New Jersey,15.0,13.8,-0.61,15.1,12.4,AHR data,
186,2009,2009 Annual,Binge Drinking,New Mexico,8.0,11.9,-1.22,13.3,10.5,AHR data,
187,2009,2009 Annual,Binge Drinking,New York,20.0,14.9,-0.26,16.3,13.5,AHR data,
188,2009,2009 Annual,Binge Drinking,North Carolina,10.0,12.6,-1.0,13.6,11.6,AHR data,
189,2009,2009 Annual,Binge Drinking,North Dakota,49.0,22.4,2.0,24.2,20.6,AHR data,
190,2009,2009 Annual,Binge Drinking,Ohio,31.0,16.4,0.23,17.6,15.2,AHR data,
191,2009,2009 Annual,Binge Drinking,Oklahoma,9.0,12.3,-1.09,13.5,11.1,AHR data,
192,2009,2009 Annual,Binge Drinking,Oregon,19.0,14.3,-0.45,15.9,12.7,AHR data,
193,2009,2009 Annual,Binge Drinking,Pennsylvania,32.0,16.5,0.26,17.9,15.1,AHR data,
194,2009,2009 Annual,Binge Drinking,Rhode Island,42.0,18.0,0.74,20.0,16.0,AHR data,
195,2009,2009 Annual,Binge Drinking,South Carolina,11.0,13.1,-0.84,14.4,11.8,AHR data,
196,2009,2009 Annual,Binge Drinking,South Dakota,37.0,17.6,0.61,19.2,16.0,AHR data,
197,2009,2009 Annual,Binge Drinking,Tennessee,3.0,9.8,-1.9,11.7,7.9,AHR data,
198,2009,2009 Annual,Binge Drinking,Texas,22.0,15.1,-0.19,16.3,13.8,AHR data,
199,2009,2009 Annual,Binge Drinking,Utah,1.0,9.0,-2.0,10.4,7.6,AHR data,
200,2009,2009 Annual,Binge Drinking,Vermont,37.0,17.6,0.61,19.0,16.2,AHR data,
201,2009,2009 Annual,Binge Drinking,Virginia,21.0,15.0,-0.23,17.1,12.9,AHR data,
202,2009,2009 Annual,Binge Drinking,Washington,24.0,15.5,-0.06,16.3,14.7,AHR data,
203,2009,2009 Annual,Binge Drinking,West Virginia,2.0,9.3,-2.0,10.5,8.1,AHR data,
204,2009,2009 Annual,Binge Drinking,Wisconsin,50.0,23.1,2.0,24.9,21.3,AHR data,
205,2009,2009 Annual,Binge Drinking,Wyoming,29.0,16.1,0.13,17.5,14.7,AHR data,
206,2009,2009 Annual,Binge Drinking,United States,,15.7,,,,AHR data,
207,2009,2009 Annual,Binge Drinking,District of Columbia,,17.0,,18.8,15.2,AHR data,
208,2009,2009 Annual,Cancer Deaths,Michigan,34.0,201.1,0.58,202.7,199.5,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
209,2009,2009 Annual,Cancer Deaths,Minnesota,9.0,181.2,-0.62,183.3,179.1,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
210,2009,2009 Annual,Cancer Deaths,Mississippi,47.0,217.7,1.57,220.8,214.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
211,2009,2009 Annual,Cancer Deaths,Missouri,38.0,206.3,0.89,208.4,204.2,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
212,2009,2009 Annual,Cancer Deaths,Montana,20.0,190.7,-0.05,195.5,185.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
213,2009,2009 Annual,Cancer Deaths,Nebraska,16.0,187.3,-0.25,190.9,183.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
214,2009,2009 Annual,Cancer Deaths,Nevada,25.0,194.0,0.15,197.3,190.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
215,2009,2009 Annual,Cancer Deaths,New Hampshire,30.0,196.2,0.28,200.5,191.9,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
216,2009,2009 Annual,Cancer Deaths,New Jersey,27.0,194.3,0.17,196.0,192.6,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
217,2009,2009 Annual,Cancer Deaths,New Mexico,5.0,170.1,-1.29,173.5,166.7,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
218,2009,2009 Annual,Cancer Deaths,New York,8.0,178.3,-0.79,179.4,177.2,"CDC WONDER Online Database, Underlying Cause of Death, Multiple Cause of Death files",2005-2007
