Year,Smoking,Smoking_unadj
1999,0.22910373586429325,0.22910373586429325
2000,0.22584744116040317,0.22584744116040317
2001,0.2231093701908687,0.2231093701908687
2002,0.2282818765044688,0.2282818765044688
2003,0.22643209587102198,0.22643209587102198
2004,0.22244923162558342,0.22244923162558342
2005,0.2077593973088463,0.2077593973088463
2006,0.20547168282561865,0.20547168282561865
2007,0.19663624704063284,0.19663624704063284
2008,0.19452496370809277,0.19452496370809277
2009,0.18494089808119052,0.18494089808119052
2010,0.18005685159943324,0.18005685159943324
2011,0.17081490027026974,0.17081490027026974
2012,0.1647294879253193,0.20116523765834068
2013,0.15451264559749617,0.18861755563327914
2014,0.14885429379751314,0.18160096923153812
2015,0.1423056000403852,0.17356197380226074
2016,0.1370952305311276,0.16715483201011763
