,State,Square Miles (Land Area)
0,Alaska,570641.0
1,Texas,261914.0
2,California,155973.0
3,Montana,145556.0
4,New Mexico,121365.0
5,Arizona,113642.0
6,Nevada,109806.0
7,Colorado,103730.0
8,Wyoming,97105.0
9,Oregon,96003.0
10,Idaho,82751.0
11,Utah,82168.0
12,Kansas,81823.0
13,Minnesota,79617.0
14,Nebraska,76878.0
15,South Dakota,75898.0
16,North Dakota,68994.0
17,Missouri,68898.0
18,Oklahoma,68679.0
19,Washington,66582.0
20,Georgia,57919.0
21,Michigan,56539.0
22,Iowa,55875.0
23,Illinois,55593.0
24,Wisconsin,54314.0
25,Florida,53997.0
26,Arkansas,52075.0
27,Alabama,50750.0
28,North Carolina,48718.0
29,New York,47224.0
30,Mississippi,46914.0
31,Pennsylvania,44820.0
32,Louisiana,43566.0
33,Tennessee,41220.0
34,Ohio,40953.0
35,Kentucky,39732.0
36,Virginia,39598.0
37,Indiana,35870.0
38,Maine,30865.0
39,South Carolina,30111.0
40,West Virginia,24087.0
41,Maryland,9775.0
42,Vermont,9249.0
43,New Hampshire,8969.0
44,Massachusetts,7838.0
45,New Jersey,7419.0
46,Hawaii,6423.0
47,Connecticut,4845.0
48,Delaware,1955.0
49,Rhode Island,1034.0
50,District of Columbia,68.34
